State,X-distance,Y-distance,Cost,Pos_x,Pos_y,Orientation,Goal_x,Goal_y,R1,R2,R3,R4,R5,R6,R7,R8,G1,G2,G3,G4,G5,G6,G7,G8
FORWARD,465,503,1951,121,185,RIGHT,490,550,2,9,3,1,2,1,7,7,8,2,9,4,4,7,9,8
BASH,465,503,1949,122,185,RIGHT,490,550,9,3,1,1,4,7,7,1,8,2,9,4,4,7,9,8
BASH,465,503,1940,124,185,RIGHT,490,550,1,3,8,4,9,1,4,1,8,2,9,4,4,7,9,8
BASH,465,503,1935,126,185,RIGHT,490,550,8,3,9,9,9,1,4,6,8,2,9,4,4,7,9,8
FORWARD,465,503,1931,128,185,RIGHT,490,550,9,2,6,9,4,6,5,6,8,2,9,4,4,7,9,8
BASH,465,503,1927,129,185,RIGHT,490,550,2,6,6,1,5,5,6,1,8,2,9,4,4,7,9,8
RIGHT,465,503,1923,131,185,RIGHT,490,550,6,3,8,5,4,1,1,9,8,2,9,4,4,7,9,8
FORWARD,465,503,1922,131,185,UP,490,550,6,3,8,5,4,1,1,9,8,2,9,4,4,7,9,8
BASH,465,503,1921,131,186,UP,490,550,5,1,4,1,9,1,7,3,8,2,9,4,4,7,9,8
BASH,465,503,1916,131,188,UP,490,550,1,7,3,1,4,7,7,8,8,2,9,4,4,7,9,8
BASH,465,503,1907,131,190,UP,490,550,7,7,8,6,4,6,9,8,8,2,9,4,4,7,9,8
LEFT,465,503,1903,131,192,UP,490,550,6,9,8,7,8,2,5,2,8,2,9,4,4,7,9,8
BASH,465,503,1902,131,192,RIGHT,490,550,6,9,8,7,8,2,5,2,8,2,9,4,4,7,9,8
FORWARD,465,503,1896,133,192,RIGHT,490,550,8,3,8,8,1,2,1,5,8,2,9,4,4,7,9,8
BASH,465,503,1895,134,192,RIGHT,490,550,3,8,5,3,9,1,5,6,8,2,9,4,4,7,9,8
BASH,465,503,1890,136,192,RIGHT,490,550,5,2,3,9,3,6,3,4,8,2,9,4,4,7,9,8
BASH,465,503,1886,138,192,RIGHT,490,550,3,1,1,3,5,4,9,2,8,2,9,4,4,7,9,8
FORWARD,465,503,1880,140,192,RIGHT,490,550,1,7,3,5,2,2,9,5,8,2,9,4,4,7,9,8
BASH,465,503,1878,141,192,RIGHT,490,550,7,3,3,3,3,9,5,1,8,2,9,4,4,7,9,8
RIGHT,465,503,1874,143,192,RIGHT,490,550,3,1,7,3,1,1,6,7,8,2,9,4,4,7,9,8
BASH,465,503,1873,143,192,UP,490,550,3,1,7,3,1,1,6,7,8,2,9,4,4,7,9,8
LEFT,465,503,1869,143,194,UP,490,550,1,6,7,1,8,1,4,4,8,2,9,4,4,7,9,8
BASH,465,503,1868,143,194,RIGHT,490,550,1,6,7,1,8,1,4,4,8,2,9,4,4,7,9,8
FORWARD,465,503,1864,145,194,RIGHT,490,550,7,2,7,8,1,4,5,6,8,2,9,4,4,7,9,8
FORWARD,465,503,1863,146,194,RIGHT,490,550,2,7,3,1,4,5,6,5,8,2,9,4,4,7,9,8
BASH,465,503,1859,147,194,RIGHT,490,550,7,3,8,1,5,6,5,9,8,2,9,4,4,7,9,8
RIGHT,465,503,1855,149,194,RIGHT,490,550,8,3,3,5,5,9,6,7,8,2,9,4,4,7,9,8
BASH,465,503,1854,149,194,UP,490,550,8,3,3,5,5,9,6,7,8,2,9,4,4,7,9,8
BASH,465,503,1850,149,196,UP,490,550,9,6,7,8,2,2,5,3,8,2,9,4,4,7,9,8
FORWARD,465,503,1846,149,198,UP,490,550,2,5,3,6,7,3,4,5,8,2,9,4,4,7,9,8
LEFT,465,503,1842,149,199,UP,490,550,6,1,7,3,5,7,4,4,8,2,9,4,4,7,9,8
BASH,465,503,1840,149,199,RIGHT,490,550,6,1,7,3,5,7,4,4,8,2,9,4,4,7,9,8
RIGHT,465,503,1835,151,199,RIGHT,490,550,7,8,6,5,2,4,2,2,8,2,9,4,4,7,9,8
FORWARD,465,503,1834,151,199,UP,490,550,7,8,6,5,2,4,2,2,8,2,9,4,4,7,9,8
FORWARD,465,503,1832,151,200,UP,490,550,5,2,2,4,2,3,1,9,8,2,9,4,4,7,9,8
LEFT,465,503,1831,151,201,UP,490,550,4,2,2,3,9,7,7,5,8,2,9,4,4,7,9,8
BASH,465,503,1830,151,201,RIGHT,490,550,4,2,2,3,9,7,7,5,8,2,9,4,4,7,9,8
FORWARD,465,503,1826,153,201,RIGHT,490,550,2,7,6,9,1,5,1,7,8,2,9,4,4,7,9,8
RIGHT,465,503,1825,154,201,RIGHT,490,550,7,6,8,1,5,1,7,6,8,2,9,4,4,7,9,8
BASH,465,503,1824,154,201,UP,490,550,7,6,8,1,5,1,7,6,8,2,9,4,4,7,9,8
FORWARD,465,503,1819,154,203,UP,490,550,1,7,6,6,6,3,1,1,8,2,9,4,4,7,9,8
LEFT,465,503,1818,154,204,UP,490,550,6,2,6,3,1,5,8,9,8,2,9,4,4,7,9,8
FORWARD,465,503,1817,154,204,RIGHT,490,550,6,2,6,3,1,5,8,9,8,2,9,4,4,7,9,8
FORWARD,465,503,1816,155,204,RIGHT,490,550,2,6,9,1,1,8,9,2,8,2,9,4,4,7,9,8
RIGHT,465,503,1815,156,204,RIGHT,490,550,6,9,4,1,7,9,2,4,8,2,9,4,4,7,9,8
FORWARD,465,503,1814,156,204,UP,490,550,6,9,4,1,7,9,2,4,8,2,9,4,4,7,9,8
LEFT,465,503,1812,156,205,UP,490,550,1,1,7,9,4,8,5,3,8,2,9,4,4,7,9,8
FORWARD,465,503,1811,156,205,RIGHT,490,550,1,1,7,9,4,8,5,3,8,2,9,4,4,7,9,8
BASH,465,503,1807,157,205,RIGHT,490,550,1,7,7,2,7,5,3,9,8,2,9,4,4,7,9,8
FORWARD,465,503,1801,159,205,RIGHT,490,550,7,9,3,7,1,9,5,9,8,2,9,4,4,7,9,8
RIGHT,465,503,1800,160,205,RIGHT,490,550,9,3,5,3,6,5,9,4,8,2,9,4,4,7,9,8
BASH,465,503,1799,160,205,UP,490,550,9,3,5,3,6,5,9,4,8,2,9,4,4,7,9,8
